36.8,92,2.50,0.0,0.0,0.0,0.0,0.0,12.1,26.6,49.1,63.1,85.6,100.6,171.0
62.3,137,2.21,0.0,0.0,0.0,0.0,0.0,26.8,39.5,90.9,122.0,145.0,169.0,213.0
58.9,124,2.11,0.0,0.0,0.0,0.0,0.0,22.5,54.7,76.7,101.0,143.0,164.0,194.0
45.3,80,1.76,0.0,0.0,0.0,0.0,5.7,23.9,46.4,63.2,71.9,101.0,108.0,123.0
52.7,130,2.46,0.0,0.0,0.0,0.0,0.0,0.0,52.0,77.0,114.0,124.0,144.0,206.0
63.6,153,2.40,0.0,0.0,0.0,0.0,0.0,11.1,52.6,106.0,134.0,166.0,188.0,200.0
62.0,163,2.63,0.0,0.0,0.0,0.0,0.0,4.7,31.5,112.0,135.0,170.0,194.0,214.0
43.4,82,1.90,0.0,0.0,0.0,0.0,3.0,16.5,49.0,60.3,92.7,95.9,106.0,107.0
65.8,169,2.56,0.0,0.0,0.0,0.0,0.0,4.8,37.5,122.0,154.0,173.0,194.0,219.0
54.5,157,2.88,0.0,0.0,0.0,0.0,0.0,0.0,24.7,82.4,113.0,164.0,180.0,214.0
47.3,84,1.77,0.0,0.0,0.0,0.0,6.6,22.5,49.3,74.4,89.1,103.0,104.0,111.0
28.3,33,1.16,0.0,0.0,0.0,3.3,11.4,22.5,28.5,35.4,40.8,43.4,43.7,44.1
52.3,92,1.76,0.0,0.0,0.0,0.0,4.8,30.1,53.6,73.9,89.4,114.0,120.0,139.0
45.0,78,1.74,0.0,0.0,0.0,0.0,4.8,25.8,46.4,68.6,81.8,88.4,100.0,114.0
56.7,142,2.50,0.0,0.0,0.0,0.0,0.0,14.1,37.1,88.7,115.8,159.3,175.3,186.0
53.1,63,1.19,0.0,0.0,0.0,5.7,18.2,40.9,56.1,64.6,75.6,80.6,85.6,90.3
72.2,114,1.57,0.0,0.0,0.0,0.0,11.7,50.3,82.0,105.0,133.0,136.0,144.0,147.0
71.9,174,2.43,0.0,0.0,0.0,0.0,0.0,18.2,56.2,109.0,167.0,195.0,203.0,225.0
78.3,137,1.74,0.0,0.0,0.0,0.0,5.4,47.6,79.2,115.0,154.0,164.0,177.0,181.0
41.2,64,1.56,0.0,0.0,0.0,0.0,8.9,25.6,37.6,57.7,72.6,81.8,84.6,92.6
68.0,160,2.36,0.0,0.0,0.0,0.0,0.0,5.1,63.0,118.0,147.0,161.0,189.0,227.0
46.8,55,1.18,0.0,0.0,0.0,3.7,19.2,38.1,47.8,63.2,68.4,69.5,69.7,70.0
